June 2021 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 127 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",78.4,60,0.1,78.3
AL-003,"Baldwin County",79.4,60,0.0,79.4
AL-005,"Barbour County",77.7,38,-0.9,78.6
AL-007,"Bibb County",76.5,34,-1.1,77.6
AL-009,"Blount County",75.0,37,-0.8,75.8
AL-011,"Bullock County",77.4,40,-0.7,78.1
AL-013,"Butler County",78.7,75,0.4,78.3
AL-015,"Calhoun County",75.2,35,-0.8,76
AL-017,"Chambers County",75.4,39,-0.7,76.1
AL-019,"Cherokee County",74.2,20,-1.8,76
AL-021,"Chilton County",76.8,48,-0.6,77.4
AL-023,"Choctaw County",78.4,57,-0.2,78.6
AL-025,"Clarke County",78.6,57,-0.1,78.7
AL-027,"Clay County",74.3,35,-0.8,75.1
AL-029,"Cleburne County",73.7,33,-1.0,74.7
AL-031,"Coffee County",79.0,66,0.2,78.8
AL-033,"Colbert County",75.9,63,0.1,75.8
AL-035,"Conecuh County",79.7,86,0.7,79
AL-037,"Coosa County",75.9,37,-0.8,76.7
AL-039,"Covington County",79.4,76,0.4,79
AL-041,"Crenshaw County",78.2,62,0.1,78.1
AL-043,"Cullman County",74.7,37,-0.9,75.6
AL-045,"Dale County",79.1,58,0.0,79.1
AL-047,"Dallas County",78.8,67,0.2,78.6
AL-049,"DeKalb County",72.8,26,-1.7,74.5
AL-051,"Elmore County",77.6,48,-0.4,78
AL-053,"Escambia County",79.7,78,0.5,79.2
AL-055,"Etowah County",75.0,31,-1.1,76.1
AL-057,"Fayette County",76.0,29,-1.2,77.2
AL-059,"Franklin County",75.0,47,-0.6,75.6
AL-061,"Geneva County",79.5,69,0.2,79.3
AL-063,"Greene County",77.7,37,-1.1,78.8
AL-065,"Hale County",77.4,37,-1.1,78.5
AL-067,"Henry County",78.8,50,-0.5,79.3
AL-069,"Houston County",79.8,60,0.1,79.7
AL-071,"Jackson County",73.9,37,-0.9,74.8
AL-073,"Jefferson County",75.9,33,-1.0,76.9
AL-075,"Lamar County",76.4,33,-1.0,77.4
AL-077,"Lauderdale County",75.6,67,0.2,75.4
AL-079,"Lawrence County",74.6,32,-1.1,75.7
AL-081,"Lee County",76.3,33,-0.9,77.2
AL-083,"Limestone County",74.9,41,-0.7,75.6
AL-085,"Lowndes County",79.0,69,0.4,78.6
AL-087,"Macon County",77.4,36,-0.8,78.2
AL-089,"Madison County",74.9,40,-0.7,75.6
AL-091,"Marengo County",78.2,50,-0.4,78.6
AL-093,"Marion County",75.2,32,-1.0,76.2
AL-095,"Marshall County",74.7,36,-0.9,75.6
AL-097,"Mobile County",79.3,60,0.1,79.2
AL-099,"Monroe County",79.4,83,0.6,78.8
AL-101,"Montgomery County",78.4,54,-0.1,78.5
AL-103,"Morgan County",74.9,36,-0.9,75.8
AL-105,"Perry County",77.5,50,-0.6,78.1
AL-107,"Pickens County",77.3,36,-1.0,78.3
AL-109,"Pike County",78.0,50,-0.4,78.4
AL-111,"Randolph County",74.5,41,-0.7,75.2
AL-113,"Russell County",77.1,26,-1.2,78.3
AL-115,"St. Clair County",75.3,31,-0.9,76.2
AL-117,"Shelby County",75.8,34,-1.1,76.9
AL-119,"Sumter County",78.1,49,-0.6,78.7
AL-121,"Talladega County",75.6,34,-0.9,76.5
AL-123,"Tallapoosa County",75.7,36,-0.8,76.5
AL-125,"Tuscaloosa County",76.9,31,-1.3,78.2
AL-127,"Walker County",75.7,30,-1.2,76.9
AL-129,"Washington County",78.8,60,-0.2,79
AL-131,"Wilcox County",79.0,69,0.3,78.7
AL-133,"Winston County",74.3,30,-1.2,75.5
AZ-001,"Apache County",71.5,127,6.0,65.5
AZ-003,"Cochise County",80.0,123,4.5,75.5
AZ-005,"Coconino County",74.2,127,6.8,67.4
AZ-007,"Gila County",79.2,127,6.0,73.2
AZ-009,"Graham County",80.7,126,4.9,75.8
AZ-011,"Greenlee County",75.4,122,4.5,70.9
AZ-012,"La Paz County",91.5,126,6.5,85
AZ-013,"Maricopa County",90.2,127,6.5,83.7
AZ-015,"Mohave County",84.0,127,7.4,76.6
AZ-017,"Navajo County",73.5,127,6.3,67.2
AZ-019,"Pima County",86.1,126,5.2,80.9
AZ-021,"Pinal County",88.4,127,5.5,82.9
AZ-023,"Santa Cruz County",78.7,125,4.6,74.1
AZ-025,"Yavapai County",79.6,127,7.2,72.4
AZ-027,"Yuma County",90.7,127,6.5,84.2
AR-001,"Arkansas County",77.9,44,-0.5,78.4
AR-003,"Ashley County",78.6,68,0.1,78.5
AR-005,"Baxter County",74.4,83,0.8,73.6
AR-007,"Benton County",74.4,82,0.8,73.6
AR-009,"Boone County",73.7,79,0.6,73.1
AR-011,"Bradley County",78.2,69,0.0,78.2
AR-013,"Calhoun County",77.8,52,-0.4,78.2
AR-015,"Carroll County",73.6,77,0.5,73.1
AR-017,"Chicot County",78.4,41,-0.8,79.2
AR-019,"Clark County",77.5,58,-0.2,77.7
AR-021,"Clay County",76.8,66,0.3,76.5
AR-023,"Cleburne County",75.1,71,0.2,74.9
AR-025,"Cleveland County",77.8,59,-0.2,78
AR-027,"Columbia County",77.9,46,-0.5,78.4
AR-029,"Conway County",77.3,80,0.8,76.5
AR-031,"Craighead County",77.5,70,0.5,77
AR-033,"Crawford County",76.3,87,1.1,75.2
AR-035,"Crittenden County",78.3,57,-0.1,78.4
AR-037,"Cross County",78.0,58,0.1,77.9
AR-039,"Dallas County",77.2,45,-0.6,77.8
AR-041,"Desha County",77.5,26,-1.3,78.8
AR-043,"Drew County",78.1,51,-0.4,78.5
AR-045,"Faulkner County",77.1,72,0.4,76.7
AR-047,"Franklin County",75.9,81,0.8,75.1
AR-049,"Fulton County",74.4,90,1.2,73.2
AR-051,"Garland County",77.1,81,0.7,76.4
AR-053,"Grant County",77.4,48,-0.5,77.9
AR-055,"Greene County",76.7,56,0.1,76.6
AR-057,"Hempstead County",78.1,68,0.2,77.9
AR-059,"Hot Spring County",77.2,61,-0.2,77.4
AR-061,"Howard County",77.5,87,0.9,76.6
AR-063,"Independence County",75.1,55,-0.2,75.3
AR-065,"Izard County",74.3,72,0.3,74
AR-067,"Jackson County",76.7,61,0.1,76.6
AR-069,"Jefferson County",78.1,66,-0.1,78.2
AR-071,"Johnson County",75.0,77,0.5,74.5
AR-073,"Lafayette County",78.9,71,0.2,78.7
AR-075,"Lawrence County",76.0,58,0.0,76
AR-077,"Lee County",77.8,45,-0.5,78.3
AR-079,"Lincoln County",78.0,52,-0.4,78.4
AR-081,"Little River County",79.3,97,1.4,77.9
AR-083,"Logan County",76.8,78,0.6,76.2
AR-085,"Lonoke County",77.8,58,-0.1,77.9
AR-087,"Madison County",73.0,81,0.8,72.2
AR-089,"Marion County",74.2,78,0.6,73.6
AR-091,"Miller County",79.7,92,0.9,78.8
AR-093,"Mississippi County",77.9,60,0.1,77.8
AR-095,"Monroe County",78.0,53,-0.3,78.3
AR-097,"Montgomery County",76.4,82,0.7,75.7
AR-099,"Nevada County",77.4,43,-0.7,78.1
AR-101,"Newton County",72.8,78,0.6,72.2
AR-103,"Ouachita County",77.5,43,-0.9,78.4
AR-105,"Perry County",77.7,81,0.8,76.9
AR-107,"Phillips County",77.8,40,-0.6,78.4
AR-109,"Pike County",77.2,83,0.6,76.6
AR-111,"Poinsett County",77.9,67,0.4,77.5
