Fips,Name,Temp,Rank,Past Mean,,,,,,
1001,Autauga County,78.4,60,78.3,,,,,,
1003,Baldwin County,79.4,60,79.4,,,,,,
1005,Barbour County,77.7,38,78.6,,,,,,
1007,Bibb County,76.5,34,77.6,,,,,,
1009,Blount County,75,37,75.8,,,,,,
1011,Bullock County,77.4,40,78.1,,,,,,
1013,Butler County,78.7,75,78.3,,,,,,
1015,Calhoun County,75.2,35,76,,,,,,
1017,Chambers County,75.4,39,76.1,,,,,,
1019,Cherokee County,74.2,20,76,,,,,,
1021,Chilton County,76.8,48,77.4,,,,,,
1023,Choctaw County,78.4,57,78.6,,,,,,
1025,Clarke County,78.6,57,78.7,,,,,,
1027,Clay County,74.3,35,75.1,,,,,,
1029,Cleburne County,73.7,33,74.7,,,,,,
1031,Coffee County,79,66,78.8,,,,,,
1033,Colbert County,75.9,63,75.8,,,,,,
1035,Conecuh County,79.7,86,79,,,,,,
1037,Coosa County,75.9,37,76.7,,,,,,
1039,Covington County,79.4,76,79,,,,,,
1041,Crenshaw County,78.2,62,78.1,,,,,,
1043,Cullman County,74.7,37,75.6,,,,,,
1045,Dale County,79.1,58,79.1,,,,,,
1047,Dallas County,78.8,67,78.6,,,,,,
1049,DeKalb County,72.8,26,74.5,,,,,,
1051,Elmore County,77.6,48,78,,,,,,
1053,Escambia County,79.7,78,79.2,,,,,,
1055,Etowah County,75,31,76.1,,,,,,
1057,Fayette County,76,29,77.2,,,,,,
1059,Franklin County,75,47,75.6,,,,,,
1061,Geneva County,79.5,69,79.3,,,,,,
1063,Greene County,77.7,37,78.8,,,,,,
1065,Hale County,77.4,37,78.5,,,,,,
1067,Henry County,78.8,50,79.3,,,,,,
1069,Houston County,79.8,60,79.7,,,,,,
1071,Jackson County,73.9,37,74.8,,,,,,
1073,Jefferson County,75.9,33,76.9,,,,,,
1075,Lamar County,76.4,33,77.4,,,,,,
1077,Lauderdale County,75.6,67,75.4,,,,,,
1079,Lawrence County,74.6,32,75.7,,,,,,
1081,Lee County,76.3,33,77.2,,,,,,
1083,Limestone County,74.9,41,75.6,,,,,,
1085,Lowndes County,79,69,78.6,,,,,,
1087,Macon County,77.4,36,78.2,,,,,,
1089,Madison County,74.9,40,75.6,,,,,,
1091,Marengo County,78.2,50,78.6,,,,,,
